test_id,gene,aa_pos,aa_pos_sub,aa_found_1,aa_found_2,aa_found_3,aa_found_4,forced_errors
testid1,PRO,1,a,aa1_01,aa1_01,aa3_01,aa4_01,
testid2,RT,1,b,aa1_02,aa1_02,aa3_02,aa4_02,
testid3,GP41,1,c,aa1_03,aa1_03,aa3_03,aa4_03,
testid4,GP120,1,d,aa1_04,aa1_04,aa3_04,aa4_04,
testid5,PRO,1,e,aa1_05,aa1_05,aa3_05,aa4_05,
testid6,RT,1,f,aa1_06,aa1_06,aa3_06,aa4_06,
testid7,GP41,1,g,aa1_07,aa1_07,aa3_07,aa4_07,
testid8,GP120,1,h,aa1_08,aa1_08,aa3_08,aa4_08,
testid9,PRO,1,i,aa1_09,aa1_09,aa3_09,aa4_09,
testid10,RT,1,j,aa1_10,aa1_10,aa3_10,aa4_10,
testid11,GP41,1,k,aa1_11,aa1_11,aa3_11,aa4_11,
testid12,GP120,1,l,aa1_12,aa1_12,aa3_12,aa4_12,
testid13,PRO,1,m,aa1_13,aa1_13,aa3_13,aa4_13,
testid14,RT,1,n,aa1_14,aa1_14,aa3_14,aa4_14,
testid15,GP41,1,o,aa1_15,aa1_15,aa3_15,aa4_15,
testid16,GP120,1,p,aa1_16,aa1_16,aa3_16,aa4_16,
testid17,PRO,1,q,aa1_17,aa1_17,aa3_17,aa4_17,
testid18,RT,1,r,aa1_18,aa1_18,aa3_18,aa4_18,
testid19,GP41,1,s,aa1_19,aa1_19,aa3_19,aa4_19,
testid20,GP120,1,t,aa1_20,aa1_20,aa3_20,aa4_20,
testid21,PRO,1,u,aa1_21,aa1_21,aa3_21,aa4_21,
testid22,RT,1,v,aa1_22,aa1_22,aa3_22,aa4_22,
testid23,GP41,1,w,aa1_23,aa1_23,aa3_23,aa4_23,
testid24,GP120,1,x,aa1_24,aa1_24,aa3_24,aa4_24,
testid25,PRO,1,y,aa1_25,aa1_25,aa3_25,aa4_25,
testid26,RT,1,z,aa1_26,aa1_26,aa3_26,aa4_26,
testid27,GP41,1,a,aa1_27,aa1_27,aa3_27,aa4_27,
testid28,GP120,1,b,aa1_28,aa1_28,aa3_28,aa4_28,
testid29,PRO,1,c,aa1_29,aa1_29,aa3_29,aa4_29,
testid30,RT,1,d,aa1_30,aa1_30,aa3_30,aa4_30,
testid31,GP41,1,e,aa1_31,aa1_31,aa3_31,aa4_31,
testid32,GP120,1,f,aa1_32,aa1_32,aa3_32,aa4_32,
testid33,PRO,1,g,aa1_33,aa1_33,aa3_33,aa4_33,
testid34,RT,1,h,aa1_34,aa1_34,aa3_34,aa4_34,
testid35,GP41,1,i,aa1_35,aa1_35,aa3_35,aa4_35,
testid36,GP120,1,j,aa1_36,aa1_36,aa3_36,aa4_36,
testid37,PRO,1,k,aa1_37,aa1_37,aa2_37,aa4_37,
x,xx,x,9,C,x,,,all
x,xx,x1,9,C,x,,,all
testid38,GP120,1,l,aa1_38,aa2_38,aa3_38,aa4_38,date beyond close date
